start_date,end_date,fund,ticker,shares_then,shares_now,change,percent_change
2021-01-25,2021-01-26,ARKW,SHOP,105327.0,105714,387.0,0.37
2021-01-25,2021-01-26,ARKF,SHOP,44753.0,45853,1100.0,2.46
2021-01-25,2021-01-26,ARKF,SE,451403.0,462628,11225.0,2.49
2021-01-25,2021-01-26,ARKK,SE,1255161.0,1254021,-1140.0,-0.09
2021-01-25,2021-01-26,ARKW,SE,633186.0,635511,2325.0,0.37
2021-01-25,2021-01-26,ARKG,RPTX,1003346.0,1006196,2850.0,0.28
2021-01-25,2021-01-26,ARKF,SCHW,601896.0,616871,14975.0,2.49
2021-01-25,2021-01-26,ARKK,ROKU,4204266.0,4200450,-3816.0,-0.09
2021-01-25,2021-01-26,ARKW,ROKU,775985.0,718569,-57416.0,-7.4
2021-01-25,2021-01-26,ARKK,SHOP,450307.0,449899,-408.0,-0.09
2021-01-25,2021-01-26,ARKG,SDGR,1790361.0,1795437,5076.0,0.28
2021-01-25,2021-01-26,ARKF,SI,779413.0,798813,19400.0,2.49
2021-01-25,2021-01-26,ARKF,SQ,1091568.0,1118743,27175.0,2.49
2021-01-25,2021-01-26,ARKW,SKLZ,959854.0,963382,3528.0,0.37
2021-01-25,2021-01-26,ARKF,SNAP,1189269.0,1218869,29600.0,2.49
2021-01-25,2021-01-26,ARKW,SNAP,2415363.0,1800834,-614529.0,-25.44
2021-01-25,2021-01-26,ARKK,SNPS,858942.0,858162,-780.0,-0.09
2021-01-25,2021-01-26,ARKW,SNPS,254382.0,255315,933.0,0.37
2021-01-25,2021-01-26,ARKQ,SNPS,231891.0,232968,1077.0,0.46
2021-01-25,2021-01-26,ARKQ,SPCE,1949405.0,1958456,9051.0,0.46
2021-01-25,2021-01-26,ARKQ,SPLK,957.0,960,3.0,0.31
2021-01-25,2021-01-26,ARKF,SPLK,276350.0,283225,6875.0,2.49
2021-01-25,2021-01-26,ARKK,SPLK,1225825.0,1224712,-1113.0,-0.09
2021-01-25,2021-01-26,ARKW,SPOT,599772.0,601974,2202.0,0.37
2021-01-25,2021-01-26,ARKK,SPOT,1983300.0,1981500,-1800.0,-0.09
2021-01-25,2021-01-26,ARKQ,ROK,105929.0,130156,24227.0,22.87
2021-01-25,2021-01-26,ARKW,SI,503696.0,505547,1851.0,0.37
2021-01-25,2021-01-26,ARKG,RHHBY,9150559.0,9176509,25950.0,0.28
2021-01-25,2021-01-26,ARKG,REGN,820070.0,822398,2328.0,0.28
2021-01-25,2021-01-26,ARKK,ZM,1275627.0,1274469,-1158.0,-0.09
2021-01-25,2021-01-26,ARKW,OPEN,3985964.0,4000604,14640.0,0.37
2021-01-25,2021-01-26,ARKF,OPEN,1677580.0,1719380,41800.0,2.49
2021-01-25,2021-01-26,ARKG,PACB,18213632.0,18192363,-21269.0,-0.12
2021-01-25,2021-01-26,ARKK,PACB,7257224.0,7239664,-17560.0,-0.24
2021-01-25,2021-01-26,ARKK,PCAR,542683.0,840691,298008.0,54.91
2021-01-25,2021-01-26,ARKK,PD,7552637.0,7534365,-18272.0,-0.24
2021-01-25,2021-01-26,ARKF,PDD,228653.0,234353,5700.0,2.49
2021-01-25,2021-01-26,ARKG,PHR,1688615.0,1693403,4788.0,0.28
2021-01-25,2021-01-26,ARKF,PINS,1436145.0,1471895,35750.0,2.49
2021-01-25,2021-01-26,ARKW,PINS,1957852.0,1564459,-393393.0,-20.09
2021-01-25,2021-01-26,ARKK,PINS,3207369.0,3204459,-2910.0,-0.09
2021-01-25,2021-01-26,ARKW,PLTR,2013945.0,2021340,7395.0,0.37
2021-01-25,2021-01-26,ARKK,PRLB,3157475.0,3149835,-7640.0,-0.24
2021-01-25,2021-01-26,ARKK,PSTG,22255488.0,22201632,-53856.0,-0.24
2021-01-25,2021-01-26,ARKW,PTON,500634.0,502473,1839.0,0.37
2021-01-25,2021-01-26,ARKK,PYPL,2159433.0,2157474,-1959.0,-0.09
2021-01-25,2021-01-26,ARKW,PYPL,553505.0,555539,2034.0,0.37
2021-01-25,2021-01-26,ARKF,PYPL,395766.0,405616,9850.0,2.49
2021-01-25,2021-01-26,ARKQ,RAVN,853213.0,857176,3963.0,0.46
2021-01-25,2021-01-26,ARKK,REGN,474278.0,473849,-429.0,-0.09
2021-01-25,2021-01-26,ARKK,SQ,4987429.0,4982902,-4527.0,-0.09
2021-01-25,2021-01-26,ARKQ,TSM,762903.0,766446,3543.0,0.46
2021-01-25,2021-01-26,ARKG,SRPT,1638092.0,1642736,4644.0,0.28
2021-01-25,2021-01-26,ARKF,TWLO,186055.0,190680,4625.0,2.49
2021-01-25,2021-01-26,ARKK,TWLO,1331366.0,1330157,-1209.0,-0.09
2021-01-25,2021-01-26,ARKK,TWOU,8055366.0,8035870,-19496.0,-0.24
2021-01-25,2021-01-26,ARKK,TWST,2901821.0,2899187,-2634.0,-0.09
2021-01-25,2021-01-26,ARKG,TWST,3683918.0,3694364,10446.0,0.28
2021-01-25,2021-01-26,ARKK,TXG,1437226.0,1435921,-1305.0,-0.09
2021-01-25,2021-01-26,ARKG,TXG,731475.0,856089,124614.0,17.04
2021-01-25,2021-01-26,ARKW,U,546296.0,548303,2007.0,0.37
2021-01-25,2021-01-26,ARKK,U,1816449.0,1814802,-1647.0,-0.09
2021-01-25,2021-01-26,ARKW,TWLO,348875.0,350156,1281.0,0.37
2021-01-25,2021-01-26,ARKG,VEEV,597498.0,599190,1692.0,0.28
2021-01-25,2021-01-26,ARKF,VRSK,95937.0,98312,2375.0,2.48
2021-01-25,2021-01-26,ARKG,VRTX,1622680.0,1627282,4602.0,0.28
2021-01-25,2021-01-26,ARKF,WDAY,205982.0,211107,5125.0,2.49
2021-01-25,2021-01-26,ARKQ,WKHS,2096358.0,2106093,9735.0,0.46
2021-01-25,2021-01-26,ARKQ,XLNX,237697.0,238801,1104.0,0.46
2021-01-25,2021-01-26,ARKF,Z,836259.0,857084,20825.0,2.49
2021-01-25,2021-01-26,ARKK,Z,4896994.0,4892551,-4443.0,-0.09
2021-01-25,2021-01-26,ARKW,Z,888491.0,891755,3264.0,0.37
2021-01-25,2021-01-26,ARKW,ZM,345753.0,347022,1269.0,0.37
2021-01-25,2021-01-26,ARKK,ONVO,513313.0,511011,-2302.0,-0.45
2021-01-25,2021-01-26,ARKK,VCYT,4841473.0,4829761,-11712.0,-0.24
2021-01-25,2021-01-26,ARKW,TTD,92544.0,92883,339.0,0.37
2021-01-25,2021-01-26,ARKW,TSM,684059.0,686570,2511.0,0.37
2021-01-25,2021-01-26,ARKF,TSM,313243.0,321043,7800.0,2.49
2021-01-25,2021-01-26,ARKK,SSYS,7049806.0,7032750,-17056.0,-0.24
2021-01-25,2021-01-26,ARKG,SURF,3528584.0,3538592,10008.0,0.28
2021-01-25,2021-01-26,ARKK,SYRS,5056505.0,5044273,-12232.0,-0.24
2021-01-25,2021-01-26,ARKG,TAK,19271186.0,19325834,54648.0,0.28
2021-01-25,2021-01-26,ARKK,TCEHY,5926441.0,5921062,-5379.0,-0.09
2021-01-25,2021-01-26,ARKQ,TCEHY,404685.0,406563,1878.0,0.46
2021-01-25,2021-01-26,ARKW,TCEHY,2614409.0,2624012,9603.0,0.37
2021-01-25,2021-01-26,ARKF,TCEHY,1438671.0,1474496,35825.0,2.49
2021-01-25,2021-01-26,ARKF,TCS,848008.0,869108,21100.0,2.49
2021-01-25,2021-01-26,ARKF,TDOC,154057.0,157882,3825.0,2.48
2021-01-25,2021-01-26,ARKW,TDOC,1059065.0,1062953,3888.0,0.37
2021-01-25,2021-01-26,ARKK,TDOC,4516409.0,4512311,-4098.0,-0.09
2021-01-25,2021-01-26,ARKG,TDOC,3266453.0,3275717,9264.0,0.28
2021-01-25,2021-01-26,ARKQ,TDY,109277.0,109784,507.0,0.46
2021-01-25,2021-01-26,ARKW,TEAM,248921.0,249836,915.0,0.37
2021-01-25,2021-01-26,ARKQ,TER,344847.0,432475,87628.0,25.41
2021-01-25,2021-01-26,ARKG,TMO,311556.0,312438,882.0,0.28
2021-01-25,2021-01-26,ARKK,TREE,1224240.0,1221280,-2960.0,-0.24
2021-01-25,2021-01-26,ARKQ,TRMB,1859240.0,1867874,8634.0,0.46
2021-01-25,2021-01-26,ARKK,TSLA,2601069.0,2598708,-2361.0,-0.09
2021-01-25,2021-01-26,ARKQ,TSLA,385495.0,380410,-5085.0,-1.32
2021-01-25,2021-01-26,ARKW,TSLA,739473.0,742188,2715.0,0.37
2021-01-25,2021-01-26,ARKK,TSM,3723171.0,3719793,-3378.0,-0.09
2021-01-25,2021-01-26,ARKW,SQ,1170080.0,1174376,4296.0,0.37
2021-01-25,2021-01-26,ARKG,ONEM,188401.0,188935,534.0,0.28
2021-01-25,2021-01-26,ARKG,GH,693494.0,695462,1968.0,0.28
2021-01-25,2021-01-26,ARKQ,NXPI,512896.0,515278,2382.0,0.46
2021-01-25,2021-01-26,ARKG,CDXS,5123140.0,5196294,73154.0,1.43
2021-01-25,2021-01-26,ARKK,CERS,19063301.0,19017173,-46128.0,-0.24
2021-01-25,2021-01-26,ARKK,CGEN,10029658.0,10005386,-24272.0,-0.24
2021-01-25,2021-01-26,ARKW,CRM,343680.0,344943,1263.0,0.37
2021-01-25,2021-01-26,ARKK,CRSP,6070635.0,6055947,-14688.0,-0.24
2021-01-25,2021-01-26,ARKW,CRWD,291631.0,292702,1071.0,0.37
2021-01-25,2021-01-26,ARKG,CSTL,2561434.0,2568700,7266.0,0.28
2021-01-25,2021-01-26,ARKQ,DE,418498.0,420442,1944.0,0.46
2021-01-25,2021-01-26,ARKQ,CAT,385022.0,386810,1788.0,0.46
2021-01-25,2021-01-26,ARKF,DOCU,252147.0,258422,6275.0,2.49
2021-01-25,2021-01-26,ARKK,DOCU,1893067.0,1891348,-1719.0,-0.09
2021-01-25,2021-01-26,ARKF,DSY,2869385.0,2940835,71450.0,2.49
2021-01-25,2021-01-26,ARKK,EDIT,6655763.0,6639659,-16104.0,-0.24
2021-01-25,2021-01-26,ARKQ,ESLT,208665.0,209634,969.0,0.46
2021-01-25,2021-01-26,ARKK,EXAS,3385829.0,3382757,-3072.0,-0.09
2021-01-25,2021-01-26,ARKG,EXAS,3094721.0,3147659,52938.0,1.71
2021-01-25,2021-01-26,ARKQ,EXPC,294024.0,311123,17099.0,5.82
2021-01-25,2021-01-26,ARKG,FATE,3722038.0,3732592,10554.0,0.28
2021-01-25,2021-01-26,ARKK,FATE,284314.0,284056,-258.0,-0.09
2021-01-25,2021-01-26,ARKW,FB,545862.0,547866,2004.0,0.37
2021-01-25,2021-01-26,ARKW,DOCU,453979.0,455647,1668.0,0.37
2021-01-25,2021-01-26,ARKF,FB,183440.0,187990,4550.0,2.48
2021-01-25,2021-01-26,ARKQ,BYDDY,1252071.0,1257885,5814.0,0.46
2021-01-25,2021-01-26,ARKG,BLI,2332809.0,2339427,6618.0,0.28
2021-01-25,2021-01-26,ARKW,OKTA,207487.0,208249,762.0,0.37
2021-01-25,2021-01-26,ARKQ,AAPL,214454.0,215450,996.0,0.46
2021-01-25,2021-01-26,ARKW,AAPL,479769.0,481530,1761.0,0.37
2021-01-25,2021-01-26,ARKF,AAPL,425405.0,435980,10575.0,2.49
2021-01-25,2021-01-26,ARKG,ACCD,3851588.0,3862508,10920.0,0.28
2021-01-25,2021-01-26,ARKW,ADBE,151024.0,151579,555.0,0.37
2021-01-25,2021-01-26,ARKG,ADPT,1982588.0,1988210,5622.0,0.28
2021-01-25,2021-01-26,ARKQ,ADSK,80224.0,80596,372.0,0.46
2021-01-25,2021-01-26,ARKF,ADYEN,39914.0,40914,1000.0,2.51
2021-01-25,2021-01-26,ARKW,ADYEY,1543161.0,1568628,25467.0,1.65
2021-01-25,2021-01-26,ARKF,AMZN,20066.0,20566,500.0,2.49
