date,fund,company,ticker,shares,weight(%)
1/11/2021,ARKQ,APPLE INC,AAPL,174614.00,1.02
1/11/2021,ARKW,APPLE INC,AAPL,444549.00,0.98
1/11/2021,ARKF,APPLE INC,AAPL,375019.00,2.15
1/11/2021,ARKG,ACCOLADE INC,ACCD,2677395.00,1.31
1/11/2021,ARKW,ADOBE INC,ADBE,113169.00,0.92
1/11/2021,ARKG,ADAPTIVE BIOTECHNOLOGIES,ADPT,1695866.00,1.12
1/11/2021,ARKQ,AUTODESK INC,ADSK,65344.00,0.94
1/11/2021,ARKF,ADYEN NV,ADYEN,35194.00,3.32
1/11/2021,ARKW,ADYEN NV-UNSPON ADR,ADYEY,1185695.00,0.86
1/11/2021,ARKF,AMAZON.COM INC,AMZN,17706.00,2.45
1/11/2021,ARKQ,AMAZON.COM INC,AMZN,7395.00,1.04
1/11/2021,ARKQ,ANSYS INC,ANSS,75248.00,1.27
1/11/2021,ARKW,AGORA INC-ADR,API,1650599.00,1.20
1/11/2021,ARKG,AQUABOUNTY TECHNOLOGIES,AQB,8619409.00,0.82
1/11/2021,ARKG,ARCTURUS THERAPEUTICS HOLDIN,ARCT UQ,3935339.00,2.88
1/11/2021,ARKQ,AEROVIRONMENT INC,AVAV,479686.00,2.02
1/11/2021,ARKW,ALIBABA GROUP HOLDING-SP ADR,BABA,299636.00,1.17
1/11/2021,ARKF,ALIBABA GROUP HOLDING-SP ADR,BABA,276516.00,2.79
1/11/2021,ARKG,BEAM THERAPEUTICS INC,BEAM,1242066.00,1.23
1/11/2021,ARKK,KE HOLDINGS INC,BEKE,4653092.00,1.43
1/11/2021,ARKF,KE HOLDINGS INC,BEKE,376662.00,1.08
1/11/2021,ARKW,KE HOLDINGS INC,BEKE,1342291.00,1.48
1/11/2021,ARKQ,BAIDU INC - SPON ADR,BIDU,334280.00,3.31
1/11/2021,ARKW,BAIDU INC - SPON ADR,BIDU,332279.00,1.25
1/11/2021,ARKK,BAIDU INC - SPON ADR,BIDU,2065270.00,2.17
1/11/2021,ARKG,BERKELEY LIGHTS INC,BLI,1995446.00,1.87
1/11/2021,ARKG,BRISTOL-MYERS SQUIBB CO,BMY,700044.00,0.48
1/11/2021,ARKQ,BYD CO LTD-UNSPONSORED ADR,BYDDY,1019486.00,2.97
1/11/2021,ARKQ,CATERPILLAR INC,CAT,294404.00,2.58
1/11/2021,ARKG,CAREDX INC,CDNA,4457140.00,3.78
1/11/2021,ARKG,CODEXIS INC,CDXS,4348646.00,1.04
1/11/2021,ARKG,CERUS CORP,CERS,8154380.00,0.62
1/11/2021,ARKK,CERUS CORP,CERS,19063301.00,0.66
1/11/2021,ARKG,COMPUGEN LTD,CGEN,5721282.00,0.76
1/11/2021,ARKK,COMPUGEN LTD,CGEN,10659908.00,0.64
1/11/2021,ARKG,CELLECTIS - ADR,CLLS,6036351.00,1.75
1/11/2021,ARKW,SALESFORCE.COM INC,CRM,234772.00,0.88
1/11/2021,ARKG,CRISPR THERAPEUTICS AG,CRSP,2717981.00,5.39
1/11/2021,ARKK,CRISPR THERAPEUTICS AG,CRSP,6327406.00,5.72
1/11/2021,ARKW,CROWDSTRIKE HOLDINGS INC - A,CRWD,270211.00,1.07
1/11/2021,ARKG,CASTLE BIOSCIENCES INC,CSTL,2270315.00,1.83
1/11/2021,ARKQ,DEERE & CO,DE,327709.00,4.36
1/11/2021,ARKF,DOCUSIGN INC,DOCU,222293.00,2.38
1/11/2021,ARKK,DOCUSIGN INC,DOCU,1616793.00,1.86
1/11/2021,ARKW,DOCUSIGN INC,DOCU,420638.00,1.73
1/11/2021,ARKF,DISCOVERY LTD,DSY,2529560.00,1.07
1/11/2021,ARKG,EDITAS MEDICINE INC,EDIT,1812076.00,1.47
1/11/2021,ARKK,EDITAS MEDICINE INC,EDIT,6655763.00,2.45
1/11/2021,ARKQ,ELBIT SYSTEMS LTD,ESLT,151940.00,0.90
1/11/2021,ARKG,EVOGENE LTD,EVGN,4583323.00,0.23
1/11/2021,ARKK,EXACT SCIENCES CORP,EXAS,3119570.00,2.15
1/11/2021,ARKG,EXACT SCIENCES CORP,EXAS,2256529.00,3.41
1/11/2021,ARKQ,EXPERIENCE INVESTMENT-A,EXPC,50660.00,0.03
1/11/2021,ARKK,FATE THERAPEUTICS INC,FATE,261954.00,0.14
1/11/2021,ARKG,FATE THERAPEUTICS INC,FATE,3183784.00,3.75
1/11/2021,ARKW,FACEBOOK INC-CLASS A,FB,505782.00,2.22
1/11/2021,ARKF,FACEBOOK INC-CLASS A,FB,161728.00,1.85
1/11/2021,ARKQ,FLIR SYSTEMS INC,FLIR,1082996.00,2.60
1/11/2021,ARKW,FASTLY INC - CLASS A,FSLY,1197190.00,1.74
1/11/2021,ARKW,GRAYSCALE BITCOIN TRUST BTC,GBTC,6445269.00,4.12
1/11/2021,ARKG,GUARDANT HEALTH INC,GH,593126.00,0.96
1/11/2021,ARKQ,ALPHABET INC-CL C,GOOG,43551.00,3.47
1/11/2021,ARKG,ALPHABET INC-CL A,GOOGL,103320.00,1.91
1/11/2021,ARKF,GUIDEWIRE SOFTWARE INC,GWRE,237918.00,1.38
1/11/2021,ARKF,HDFC BANK LTD-ADR,HDB,303672.00,0.99
1/11/2021,ARKQ,HONEYWELL INTERNATIONAL INC,HON,44196.00,0.42
1/11/2021,ARKW,HUBSPOT INC,HUBS,150613.00,1.04
1/11/2021,ARKK,HUYA INC-ADR,HUYA,6697052.00,0.67
1/11/2021,ARKW,HUYA INC-ADR,HUYA,4582960.00,1.63
1/11/2021,ARKF,INTERCONTINENTAL EXCHANGE IN,ICE,814784.00,4.26
1/11/2021,ARKW,INTERCONTINENTAL EXCHANGE IN,ICE,1044711.00,2.10
1/11/2021,ARKK,INTERCONTINENTAL EXCHANGE IN,ICE,2782761.00,1.57
1/11/2021,ARKG,INCYTE CORP,INCY,1956007.00,1.92
1/11/2021,ARKF,INTUIT INC,INTU,97523.00,1.61
1/11/2021,ARKG,IONIS PHARMACEUTICALS INC,IONS,2634277.00,1.72
1/11/2021,ARKK,IOVANCE BIOTHERAPEUTICS INC,IOVA,9252214.00,2.26
1/11/2021,ARKG,IOVANCE BIOTHERAPEUTICS INC,IOVA,6457493.00,3.47
1/11/2021,ARKQ,IRIDIUM COMMUNICATIONS INC,IRDM,1633539.00,3.18
1/11/2021,ARKK,IRIDIUM COMMUNICATIONS INC,IRDM,5065220.00,1.04
1/11/2021,ARKQ,INTUITIVE SURGICAL INC,ISRG,30510.00,1.12
1/11/2021,ARKQ,JD.COM INC-ADR,JD,886140.00,3.62
1/11/2021,ARKF,JD.COM INC-ADR,JD,300592.00,1.21
1/11/2021,ARKW,JD.COM INC-ADR,JD,697296.00,1.08
1/11/2021,ARKQ,KOMATSU LTD -SPONS ADR,KMTUY,1759096.00,2.34
1/11/2021,ARKF,JSC KASPI.KZ GDR-REG S,KSPI,45695.00,0.13
1/11/2021,ARKQ,KRATOS DEFENSE & SECURITY,KTOS,2807969.00,3.34
1/11/2021,ARKW,LENDINGCLUB CORP,LC,4628718.00,0.87
1/11/2021,ARKF,LENDINGCLUB CORP,LC,1879598.00,0.91
1/11/2021,ARKG,LONGVIEW ACQUISITION CORP-A,LGVW,1655320.00,0.35
1/11/2021,ARKQ,LOCKHEED MARTIN CORP,LMT,64400.00,0.98
1/11/2021,ARKF,LIGHTSPEED POS INC-SUB VOTE,LSPD,719396.00,2.15
1/11/2021,ARKG,908 DEVICES INC,MASS,481138.00,0.29
1/11/2021,ARKG,SERES THERAPEUTICS INC,MCRB,3552954.00,1.00
1/11/2021,ARKK,SERES THERAPEUTICS INC,MCRB,8266837.00,1.06
1/11/2021,ARKF,MERCADOLIBRE INC,MELI,59254.00,4.64
1/11/2021,ARKW,MERCADOLIBRE INC,MELI,47088.00,1.42
1/11/2021,ARKQ,MAGNA INTERNATIONAL INC,MGA,422474.00,1.43
1/11/2021,ARKF,MARKETAXESS HOLDINGS INC,MKTX,18399.00,0.44
1/11/2021,ARKK,MATERIALISE NV-ADR,MTLS,6006937.00,1.84
1/11/2021,ARKQ,MATERIALISE NV-ADR,MTLS,2446618.00,7.08
1/11/2021,ARKW,CLOUDFLARE INC - CLASS A,NET,762199.00,1.00
1/11/2021,ARKW,NETFLIX INC,NFLX,241373.00,2.06
1/11/2021,ARKQ,NIU TECHNOLOGIES-SPONS ADR,NIU,1046885.00,1.73
1/11/2021,ARKW,NANO DIMENSION LTD - ADR,NNDM,3805955.00,0.60
1/11/2021,ARKQ,NANO DIMENSION LTD - ADR,NNDM,5629727.00,2.36
1/11/2021,ARKG,NANOSTRING TECHNOLOGIES INC,NSTG,1118870.00,0.81
1/11/2021,ARKK,NANOSTRING TECHNOLOGIES INC,NSTG,2438310.00,0.81
1/11/2021,ARKW,NINTENDO CO LTD-UNSPONS ADR,NTDOY,909990.00,1.23
1/11/2021,ARKK,NINTENDO CO LTD-UNSPONS ADR,NTDOY,3258441.00,1.24
1/11/2021,ARKG,INTELLIA THERAPEUTICS INC,NTLA,2178866.00,1.67
1/11/2021,ARKK,INTELLIA THERAPEUTICS INC,NTLA,6456860.00,2.25
1/11/2021,ARKW,NVIDIA CORP,NVDA,161267.00,1.50
1/11/2021,ARKF,NVIDIA CORP,NVDA,44000.00,1.06
1/11/2021,ARKQ,NVIDIA CORP,NVDA,53137.00,1.31
1/11/2021,ARKK,NOVARTIS AG-SPONSORED ADR,NVS,493061.00,0.22
1/11/2021,ARKG,NOVARTIS AG-SPONSORED ADR,NVS,2563117.00,2.54
1/11/2021,ARKG,INVITAE CORP,NVTA,6180483.00,2.98
1/11/2021,ARKK,INVITAE CORP,NVTA,17456809.00,3.84
1/11/2021,ARKQ,NXP SEMICONDUCTORS NV,NXPI,385213.00,3.01
1/11/2021,ARKW,OKTA INC,OKTA,192247.00,0.83
1/11/2021,ARKG,ORGANOVO HOLDINGS INC,ONVO ,374190.00,0.05
1/11/2021,ARKQ,ORGANOVO HOLDINGS INC,ONVO ,197165.00,0.11
1/11/2021,ARKK,ORGANOVO HOLDINGS INC,ONVO ,768464.00,0.05
1/11/2021,ARKW,OPENDOOR TECHNOLOGIES INC,OPEN,3693234.00,1.66
1/11/2021,ARKF,OPENDOOR TECHNOLOGIES INC,OPEN,1095860.00,1.28
1/11/2021,ARKK,PACIFIC BIOSCIENCES OF CALIF,PACB,7257224.00,1.19
1/11/2021,ARKG,PACIFIC BIOSCIENCES OF CALIF,PACB,19341312.00,6.96
1/11/2021,ARKW,PAGERDUTY INC,PD,2237999.00,1.68
1/11/2021,ARKK,PAGERDUTY INC,PD,7552637.00,1.59
1/11/2021,ARKF,PINDUODUO INC-ADR,PDD,201541.00,1.54
1/11/2021,ARKG,PHREESIA INC,PHR,1444427.00,0.87
1/11/2021,ARKW,PINTEREST INC- CLASS A,PINS,1814076.00,2.22
1/11/2021,ARKF,PINTEREST INC- CLASS A,PINS,1266107.00,4.03
1/11/2021,ARKK,PINTEREST INC- CLASS A,PINS,2384572.00,0.82
1/11/2021,ARKW,PALANTIR TECHNOLOGIES INC-A,PLTR,1384832.00,0.61
1/11/2021,ARKK,PROTO LABS INC,PRLB,3157475.00,2.75
1/11/2021,ARKQ,PROTO LABS INC,PRLB,280592.00,2.30
1/11/2021,ARKG,PERSONALIS INC,PSNL,6739994.00,2.69
1/11/2021,ARKG,PURE STORAGE INC - CLASS A,PSTG,8710400.00,2.15
1/11/2021,ARKW,PURE STORAGE INC - CLASS A,PSTG,6570108.00,2.64
1/11/2021,ARKK,PURE STORAGE INC - CLASS A,PSTG,22255488.00,2.51
1/11/2021,ARKG,PLURISTEM THERAPEUTICS INC,PSTI,3836111.00,0.34
